Crop yields,,,,,,,,,,,,,,,,,
Barley grain,4.29,MgWM/ha/yr,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf,,,,,,,,,,,,,,
Corn grain,7.82,MgWM/ha/yr,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf,,,,,,,,,,,,,,
Corn silage,47.03,Mg DM/ha/yr,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf,,,,,,,,,,,,,,
Rye silage,5.30,Mg DM/ha/yr,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf,,,,,,,,,,,,,,
Wheat grain,4.0,MgWM/ha/yr,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf,,,,,,,,,,,,,,
Wheat silage,7.9,Mg DM/ha/yr,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf,,,,,,,,,,,,,,
Alfalfa,11.20,Mg DM/ha/yr,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf,,,,,,,,,,,,,,
Red Clover,8.96,Mg DM/ha/yr,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf,,,,,,,,,,,,,,
Canola ,2.79,MgWM/ha/yr,Frier  M.C.  and G. W. Roth. 2009. Canola or Rapeseed Production in Pennsylvania. Department of Crop and Soil Sciences  Penn State University. Available at http://downloads.cas.psu.edu/RenewableEnergy/CanolaProduction.pdf,,,,,,,,,,,,,,
Soybean,2.68,MgWM/ha/yr,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf,,,,,,,,,,,,,,
Sugar beet,37.1,MgWM/ha/yr,Roth G.  D. Buffington  C. Houser  M. Antle. 2008. Evaluation of fodder beets as a feedstock for PA ethanol production. Crop Management Research Report. Department of crop and soil sciences. Penn State University  University Park PA,,,,,,,,,,,,,,
Switchgrass,8.5,Mg DM/ha/yr,Hall  M. 2010. Warm season grasses. Agronomy facts 29. Department of Crop and Soil Sciences. Penn State University. Available at:http://cropsoil.psu.edu/extension/facts/agfacts29.cfm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
National yields 10-yr average 2002-2011,,,,,,,,,,,,,,,,,
Barley grain,3.48,MgWM/ha/yr,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/,,,,,,,,,,,,,,
Corn grain,9.38,MgWM/ha/yr,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/,,,,,,,,,,,,,,
Corn silage,39.39,Mg WM/ha/yr,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/,,,,,,,,,,,,,,
Wheat grain,2.8,MgWM/ha/yr,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/,,,,,,,,,,,,,,
