Parameter,ParameterName,Value,Unit,Category,Reference
Yield,Barley grain,4.29,MgWM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Corn grain,7.82,MgWM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Corn silage,47.03,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Rye silage,5.3,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Wheat grain,4,MgWM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Wheat silage,7.9,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Alfalfa,11.2,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Red Clover,8.96,Mg DM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Canola ,2.79,MgWM/ha/yr,Agriculture,Frier  M.C.  and G. W. Roth. 2009. Canola or Rapeseed Production in Pennsylvania. Department of Crop and Soil Sciences  Penn State University. Available at http://downloads.cas.psu.edu/RenewableEnergy/CanolaProduction.pdf
Yield,Soybean,2.68,MgWM/ha/yr,Agriculture,PSU Agronomy guide 2012- soil fertility management. Fertilizer recommendations. Available online at  http://extension.psu.edu/agronomy-guide/cm/tables/table1-2-5.pdf
Yield,Sugar beet,37.1,MgWM/ha/yr,Agriculture,Roth G.  D. Buffington  C. Houser  M. Antle. 2008. Evaluation of fodder beets as a feedstock for PA ethanol production. Crop Management Research Report. Department of crop and soil sciences. Penn State University  University Park PA
Yield,Switchgrass,8.5,Mg DM/ha/yr,Agriculture,Hall  M. 2010. Warm season grasses. Agronomy facts 29. Department of Crop and Soil Sciences. Penn State University. Available at:http://cropsoil.psu.edu/extension/facts/agfacts29.cfm
Yield,Barley grain,3.48,MgWM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Corn grain,9.38,MgWM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Corn silage,39.39,Mg WM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Wheat grain,2.8,MgWM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
Yield,Alfalfa,7.49,Mg DM/ha/yr,Agriculture,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/
